sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0204,4.9796,-0.0204,0.0,1.0,0
1,0.0167,0.0,0.0253,4.9543,-0.0253,0.004363,0.99999,0
2,0.0333,0.0,0.0178,4.9365,-0.0178,0.008727,0.999962,0
3,0.05,0.0,0.0242,4.9123,-0.0242,0.01309,0.999914,0
4,0.0667,0.0,0.0208,4.8915,-0.0208,0.017452,0.999848,0
5,0.0833,0.0,0.0212,4.8703,-0.0212,0.021815,0.999762,0
6,0.1,0.0,0.0208,4.8495,-0.0208,0.026177,0.999657,0
7,0.1167,0.0,0.019,4.8305,-0.019,0.030539,0.999534,0
8,0.1333,0.0,0.0209,4.8096,-0.0209,0.034899,0.999391,0
9,0.15,0.0,0.0179,4.7917,-0.0179,0.03926,0.999229,0
10,0.1667,0.0,0.0169,4.7748,-0.0169,0.043619,0.999048,0
11,0.1833,0.0,0.02,4.7548,-0.02,0.047978,0.998848,0
12,0.2,0.0,0.0224,4.7324,-0.0224,0.052336,0.99863,0
13,0.2167,0.0,0.0206,4.7118,-0.0206,0.056693,0.998392,0
14,0.2333,0.0,0.0199,4.6919,-0.0199,0.061049,0.998135,0
15,0.25,0.0,0.0186,4.6733,-0.0186,0.065403,0.997859,0
16,0.2667,0.0,0.0204,4.6529,-0.0204,0.069756,0.997564,0
17,0.2833,0.0,0.0214,4.6315,-0.0214,0.074108,0.99725,0
18,0.3,0.0,0.0202,4.6113,-0.0202,0.078459,0.996917,0
19,0.3167,0.0,0.0198,4.5915,-0.0198,0.082808,0.996566,0
20,0.3333,0.0,0.0187,4.5728,-0.0187,0.087156,0.996195,0
21,0.35,0.0,0.0181,4.5547,-0.0181,0.091502,0.995805,0
22,0.3667,0.0,0.019,4.5357,-0.019,0.095846,0.995396,0
23,0.3833,0.0,0.0178,4.5179,-0.0178,0.100188,0.994969,0
24,0.4,0.0,0.0234,4.4945,-0.0234,0.104528,0.994522,0
25,0.4167,0.0,0.0174,4.4771,-0.0174,0.108867,0.994056,0
26,0.4333,0.0,0.0219,4.4552,-0.0219,0.113203,0.993572,0
27,0.45,0.0,0.0239,4.4313,-0.0239,0.117537,0.993068,0
28,0.4667,0.0,0.0173,4.414,-0.0173,0.121869,0.992546,0
29,0.4833,0.0,0.0163,4.3977,-0.0163,0.126199,0.992005,0
30,0.5,0.0,0.0229,4.3748,-0.0229,0.130526,0.991445,0
31,0.5167,0.0,0.0218,4.353,-0.0218,0.134851,0.990866,0
32,0.5333,0.0,0.0212,4.3318,-0.0212,0.139173,0.990268,0
33,0.55,0.0,0.0183,4.3135,-0.0183,0.143493,0.989651,0
34,0.5667,0.0,0.0229,4.2906,-0.0229,0.147809,0.989016,0
35,0.5833,0.0,0.0172,4.2734,-0.0172,0.152123,0.988362,0
36,0.6,0.0,0.0225,4.2509,-0.0225,0.156434,0.987688,0
37,0.6167,0.0,0.0176,4.2333,-0.0176,0.160743,0.986996,0
38,0.6333,0.0,0.0202,4.2131,-0.0202,0.165048,0.986286,0
39,0.65,0.0,0.02,4.1931,-0.02,0.16935,0.985556,0
40,0.6667,0.0,0.0207,4.1724,-0.0207,0.173648,0.984808,0
41,0.6833,0.0,0.0191,4.1533,-0.0191,0.177944,0.984041,0
42,0.7,0.0,0.0194,4.1339,-0.0194,0.182236,0.983255,0
43,0.7167,0.0,0.0221,4.1118,-0.0221,0.186524,0.98245,0
44,0.7333,0.0,0.021,4.0908,-0.021,0.190809,0.981627,0
45,0.75,0.0,0.0211,4.0697,-0.0211,0.19509,0.980785,0
46,0.7667,0.0,0.018,4.0517,-0.018,0.199368,0.979925,0
47,0.7833,0.0,0.0205,4.0312,-0.0205,0.203642,0.979045,0
48,0.8,0.0,0.0189,4.0123,-0.0189,0.207912,0.978148,0
49,0.8167,0.0,0.018,3.9943,-0.018,0.212178,0.977231,0
50,0.8333,0.0,0.0222,3.9721,-0.0222,0.21644,0.976296,0
51,0.85,0.0,0.0227,3.9494,-0.0227,0.220697,0.975342,0
52,0.8667,0.0,0.0198,3.9296,-0.0198,0.224951,0.97437,0
53,0.8833,0.0,0.0227,3.9069,-0.0227,0.2292,0.973379,0
54,0.9,0.0,0.0202,3.8867,-0.0202,0.233445,0.97237,0
55,0.9167,0.0,0.0194,3.8673,-0.0194,0.237686,0.971342,0
56,0.9333,0.0,0.0162,3.8511,-0.0162,0.241922,0.970296,0
57,0.95,0.0,0.0204,3.8307,-0.0204,0.246153,0.969231,0
58,0.9667,0.0,0.0234,3.8073,-0.0234,0.25038,0.968148,0
59,0.9833,0.0,0.0189,3.7884,-0.0189,0.254602,0.967046,0
60,1.0,0.0,0.0172,3.7712,-0.0172,0.258819,0.965926,0
61,1.0167,0.0,0.0195,3.7517,-0.0195,0.263031,0.964787,0
62,1.0333,0.0,0.0236,3.7281,-0.0236,0.267238,0.96363,0
63,1.05,0.0,0.0242,3.7039,-0.0242,0.27144,0.962455,0
64,1.0667,0.0,0.0169,3.687,-0.0169,0.275637,0.961262,0
65,1.0833,0.0,0.0221,3.6649,-0.0221,0.279829,0.96005,0
66,1.1,0.0,0.0169,3.648,-0.0169,0.284015,0.95882,0
67,1.1167,0.0,0.0185,3.6295,-0.0185,0.288196,0.957571,0
68,1.1333,0.0,0.0182,3.6113,-0.0182,0.292372,0.956305,0
69,1.15,0.0,0.0208,3.5905,-0.0208,0.296542,0.95502,0
70,1.1667,0.0,0.02,3.5705,-0.02,0.300706,0.953717,0
71,1.1833,0.0,0.0191,3.5514,-0.0191,0.304864,0.952396,0
72,1.2,0.0,0.0223,3.5291,-0.0223,0.309017,0.951057,0
