sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0176,3.9824,-0.0176,0.0,1.0,0
1,0.0167,0.0,0.0154,3.967,-0.0154,0.004363,0.99999,0
2,0.0333,0.0,0.0205,3.9465,-0.0205,0.008727,0.999962,0
3,0.05,0.0,0.0129,3.9336,-0.0129,0.01309,0.999914,0
4,0.0667,0.0,0.0148,3.9188,-0.0148,0.017452,0.999848,0
5,0.0833,0.0,0.017,3.9018,-0.017,0.021815,0.999762,0
6,0.1,0.0,0.018,3.8838,-0.018,0.026177,0.999657,0
7,0.1167,0.0,0.0117,3.8721,-0.0117,0.030539,0.999534,0
8,0.1333,0.0,0.0148,3.8573,-0.0148,0.034899,0.999391,0
9,0.15,0.0,0.0162,3.8411,-0.0162,0.03926,0.999229,0
10,0.1667,0.0,0.0191,3.822,-0.0191,0.043619,0.999048,0
11,0.1833,0.0,0.0184,3.8036,-0.0184,0.047978,0.998848,0
12,0.2,0.0,0.0149,3.7887,-0.0149,0.052336,0.99863,0
13,0.2167,0.0,0.0126,3.7761,-0.0126,0.056693,0.998392,0
14,0.2333,0.0,0.0153,3.7608,-0.0153,0.061049,0.998135,0
15,0.25,0.0,0.0139,3.7469,-0.0139,0.065403,0.997859,0
16,0.2667,0.0,0.0177,3.7292,-0.0177,0.069756,0.997564,0
17,0.2833,0.0,0.0121,3.7171,-0.0121,0.074108,0.99725,0
18,0.3,0.0,0.0177,3.6994,-0.0177,0.078459,0.996917,0
19,0.3167,0.0,0.0135,3.6859,-0.0135,0.082808,0.996566,0
20,0.3333,0.0,0.0101,3.6758,-0.0101,0.087156,0.996195,0
21,0.35,0.0,0.0148,3.661,-0.0148,0.091502,0.995805,0
22,0.3667,0.0,0.0196,3.6414,-0.0196,0.095846,0.995396,0
23,0.3833,0.0,0.0159,3.6255,-0.0159,0.100188,0.994969,0
24,0.4,0.0,0.0144,3.6111,-0.0144,0.104528,0.994522,0
25,0.4167,0.0,0.0145,3.5966,-0.0145,0.108867,0.994056,0
26,0.4333,0.0,0.0148,3.5818,-0.0148,0.113203,0.993572,0
27,0.45,0.0,0.0153,3.5665,-0.0153,0.117537,0.993068,0
28,0.4667,0.0,0.0141,3.5524,-0.0141,0.121869,0.992546,0
29,0.4833,0.0,0.0166,3.5358,-0.0166,0.126199,0.992005,0
30,0.5,0.0,0.0198,3.516,-0.0198,0.130526,0.991445,0
31,0.5167,0.0,0.0186,3.4974,-0.0186,0.134851,0.990866,0
32,0.5333,0.0,0.0147,3.4827,-0.0147,0.139173,0.990268,0
33,0.55,0.0,0.0154,3.4673,-0.0154,0.143493,0.989651,0
34,0.5667,0.0,0.0149,3.4524,-0.0149,0.147809,0.989016,0
35,0.5833,0.0,0.0186,3.4338,-0.0186,0.152123,0.988362,0
36,0.6,0.0,0.0134,3.4204,-0.0134,0.156434,0.987688,0
37,0.6167,0.0,0.0161,3.4043,-0.0161,0.160743,0.986996,0
38,0.6333,0.0,0.0142,3.3901,-0.0142,0.165048,0.986286,0
39,0.65,0.0,0.0159,3.3742,-0.0159,0.16935,0.985556,0
40,0.6667,0.0,0.012,3.3622,-0.012,0.173648,0.984808,0
41,0.6833,0.0,0.0158,3.3464,-0.0158,0.177944,0.984041,0
42,0.7,0.0,0.0144,3.332,-0.0144,0.182236,0.983255,0
43,0.7167,0.0,0.0173,3.3147,-0.0173,0.186524,0.98245,0
44,0.7333,0.0,0.0148,3.2999,-0.0148,0.190809,0.981627,0
45,0.75,0.0,0.0114,3.2885,-0.0114,0.19509,0.980785,0
46,0.7667,0.0,0.0114,3.2771,-0.0114,0.199368,0.979925,0
47,0.7833,0.0,0.0167,3.2604,-0.0167,0.203642,0.979045,0
48,0.8,0.0,0.0175,3.2429,-0.0175,0.207912,0.978148,0
49,0.8167,0.0,0.017,3.2259,-0.017,0.212178,0.977231,0
50,0.8333,0.0,0.013,3.2129,-0.013,0.21644,0.976296,0
51,0.85,0.0,0.0168,3.1961,-0.0168,0.220697,0.975342,0
52,0.8667,0.0,0.0165,3.1796,-0.0165,0.224951,0.97437,0
53,0.8833,0.0,0.0167,3.1629,-0.0167,0.2292,0.973379,0
54,0.9,0.0,0.0119,3.151,-0.0119,0.233445,0.97237,0
55,0.9167,0.0,0.0135,3.1375,-0.0135,0.237686,0.971342,0
56,0.9333,0.0,0.0142,3.1233,-0.0142,0.241922,0.970296,0
57,0.95,0.0,0.0184,3.1049,-0.0184,0.246153,0.969231,0
58,0.9667,0.0,0.0176,3.0873,-0.0176,0.25038,0.968148,0
59,0.9833,0.0,0.0171,3.0702,-0.0171,0.254602,0.967046,0
60,1.0,0.0,0.0153,3.0549,-0.0153,0.258819,0.965926,0
61,1.0167,0.0,0.013,3.0419,-0.013,0.263031,0.964787,0
62,1.0333,0.0,0.0193,3.0226,-0.0193,0.267238,0.96363,0
63,1.05,0.0,0.0165,3.0061,-0.0165,0.27144,0.962455,0
64,1.0667,0.0,0.0128,2.9933,-0.0128,0.275637,0.961262,0
65,1.0833,0.0,0.0177,2.9756,-0.0177,0.279829,0.96005,0
66,1.1,0.0,0.0144,2.9612,-0.0144,0.284015,0.95882,0
67,1.1167,0.0,0.015,2.9462,-0.015,0.288196,0.957571,0
68,1.1333,0.0,0.0169,2.9293,-0.0169,0.292372,0.956305,0
69,1.15,0.0,0.0155,2.9138,-0.0155,0.296542,0.95502,0
70,1.1667,0.0,0.0169,2.8969,-0.0169,0.300706,0.953717,0
71,1.1833,0.0,0.0116,2.8853,-0.0116,0.304864,0.952396,0
72,1.2,0.0,0.0158,2.8695,-0.0158,0.309017,0.951057,0
73,1.2167,0.0,0.0153,2.8542,-0.0153,0.313164,0.949699,0
74,1.2333,0.0,0.0145,2.8397,-0.0145,0.317305,0.948324,0
75,1.25,0.0,0.0164,2.8233,-0.0164,0.321439,0.94693,0
76,1.2667,0.0,0.0133,2.81,-0.0133,0.325568,0.945519,0
77,1.2833,0.0,0.0126,2.7974,-0.0126,0.329691,0.944089,0
78,1.3,0.0,0.0167,2.7807,-0.0167,0.333807,0.942641,0
79,1.3167,0.0,0.019,2.7617,-0.019,0.337917,0.941176,0
80,1.3333,0.0,0.0174,2.7443,-0.0174,0.34202,0.939693,0
81,1.35,0.0,0.0157,2.7286,-0.0157,0.346117,0.938191,0
82,1.3667,0.0,0.0171,2.7115,-0.0171,0.350207,0.936672,0
83,1.3833,0.0,0.0159,2.6956,-0.0159,0.354291,0.935135,0
84,1.4,0.0,0.0191,2.6765,-0.0191,0.358368,0.93358,0
85,1.4167,0.0,0.0218,2.6547,-0.0218,0.362438,0.932008,0
86,1.4333,0.0,0.0133,2.6414,-0.0133,0.366501,0.930418,0
87,1.45,0.0,0.0172,2.6242,-0.0172,0.370557,0.92881,0
88,1.4667,0.0,0.0166,2.6076,-0.0166,0.374607,0.927184,0
89,1.4833,0.0,0.0141,2.5935,-0.0141,0.378649,0.925541,0
90,1.5,0.0,0.0182,2.5753,-0.0182,0.382683,0.92388,0
91,1.5167,0.0,0.0147,2.5606,-0.0147,0.386711,0.922201,0
92,1.5333,0.0,0.0153,2.5453,-0.0153,0.390731,0.920505,0
93,1.55,0.0,0.0155,2.5298,-0.0155,0.394744,0.918791,0
94,1.5667,0.0,0.0117,2.5181,-0.0117,0.398749,0.91706,0
95,1.5833,0.0,0.0167,2.5014,-0.0167,0.402747,0.915311,0
96,1.6,0.0,0.0136,2.4878,-0.0136,0.406737,0.913545,0
97,1.6167,0.0,0.0148,2.473,-0.0148,0.410719,0.911762,0
98,1.6333,0.0,0.0156,2.4574,-0.0156,0.414693,0.909961,0
99,1.65,0.0,0.0162,2.4412,-0.0162,0.41866,0.908143,0
100,1.6667,0.0,0.0141,2.4271,-0.0141,0.422618,0.906308,0
101,1.6833,0.0,0.0137,2.4134,-0.0137,0.426569,0.904455,0
102,1.7,0.0,0.0158,2.3976,-0.0158,0.430511,0.902585,0
103,1.7167,0.0,0.0145,2.3831,-0.0145,0.434445,0.900698,0
104,1.7333,0.0,0.0147,2.3684,-0.0147,0.438371,0.898794,0
105,1.75,0.0,0.0191,2.3493,-0.0191,0.442289,0.896873,0
106,1.7667,0.0,0.0145,2.3348,-0.0145,0.446198,0.894934,0
107,1.7833,0.0,0.017,2.3178,-0.017,0.450098,0.892979,0
108,1.8,0.0,0.0188,2.299,-0.0188,0.45399,0.891007,0
109,1.8167,0.0,0.0168,2.2822,-0.0168,0.457874,0.889017,0
110,1.8333,0.0,0.0198,2.2624,-0.0198,0.461749,0.887011,0
111,1.85,0.0,0.0144,2.248,-0.0144,0.465615,0.884988,0
112,1.8667,0.0,0.0165,2.2315,-0.0165,0.469472,0.882948,0
113,1.8833,0.0,0.0151,2.2164,-0.0151,0.47332,0.880891,0
114,1.9,0.0,0.0111,2.2053,-0.0111,0.477159,0.878817,0
115,1.9167,0.0,0.016,2.1893,-0.016,0.480989,0.876727,0
116,1.9333,0.0,0.015,2.1743,-0.015,0.48481,0.87462,0
117,1.95,0.0,0.0172,2.1571,-0.0172,0.488621,0.872496,0
118,1.9667,0.0,0.0166,2.1405,-0.0166,0.492424,0.870356,0
119,1.9833,0.0,0.0143,2.1262,-0.0143,0.496217,0.868199,0
120,2.0,0.0,0.0174,2.1088,-0.0174,0.5,0.866025,0
121,2.0167,0.0,0.0147,2.0941,-0.0147,0.503774,0.863836,0
122,2.0333,0.0,0.0182,2.0759,-0.0182,0.507538,0.861629,0
123,2.05,0.0,0.0154,2.0605,-0.0154,0.511293,0.859406,0
124,2.0667,0.0,0.0167,2.0438,-0.0167,0.515038,0.857167,0
125,2.0833,0.0,0.0185,2.0253,-0.0185,0.518773,0.854912,0
126,2.1,0.0,0.0097,2.0156,-0.0097,0.522499,0.85264,0
127,2.1167,0.0,0.0156,2.0,-0.0156,0.526214,0.850352,0
128,2.1333,0.0,0.016,1.984,-0.016,0.529919,0.848048,0
129,2.15,0.0,0.0158,1.9682,-0.0158,0.533615,0.845728,0
130,2.1667,0.0,0.0157,1.9525,-0.0157,0.5373,0.843391,0
131,2.1833,0.0,0.0124,1.9401,-0.0124,0.540974,0.841039,0
132,2.2,0.0,0.0171,1.923,-0.0171,0.544639,0.838671,0
133,2.2167,0.0,0.0125,1.9105,-0.0125,0.548293,0.836286,0
134,2.2333,0.0,0.0145,1.896,-0.0145,0.551937,0.833886,0
135,2.25,0.0,0.0158,1.8802,-0.0158,0.55557,0.83147,0
136,2.2667,0.0,0.0165,1.8637,-0.0165,0.559193,0.829038,0
137,2.2833,0.0,0.0164,1.8473,-0.0164,0.562805,0.82659,0
138,2.3,0.0,0.0155,1.8318,-0.0155,0.566406,0.824126,0
139,2.3167,0.0,0.0153,1.8165,-0.0153,0.569997,0.821647,0
140,2.3333,0.0,0.0163,1.8002,-0.0163,0.573576,0.819152,0
141,2.35,0.0,0.0122,1.788,-0.0122,0.577145,0.816642,0
142,2.3667,0.0,0.0153,1.7727,-0.0153,0.580703,0.814116,0
143,2.3833,0.0,0.0153,1.7574,-0.0153,0.58425,0.811574,0
144,2.4,0.0,0.0172,1.7402,-0.0172,0.587785,0.809017,0
145,2.4167,0.0,0.0132,1.727,-0.0132,0.59131,0.806445,0
146,2.4333,0.0,0.0137,1.7133,-0.0137,0.594823,0.803857,0
147,2.45,0.0,0.0168,1.6965,-0.0168,0.598325,0.801254,0
148,2.4667,0.0,0.0175,1.679,-0.0175,0.601815,0.798636,0
149,2.4833,0.0,0.0136,1.6654,-0.0136,0.605294,0.796002,0
150,2.5,0.0,0.0176,1.6478,-0.0176,0.608761,0.793353,0
151,2.5167,0.0,0.017,1.6308,-0.017,0.612217,0.79069,0
152,2.5333,0.0,0.0155,1.6153,-0.0155,0.615661,0.788011,0
153,2.55,0.0,0.0123,1.603,-0.0123,0.619094,0.785317,0
154,2.5667,0.0,0.0169,1.5861,-0.0169,0.622515,0.782608,0
155,2.5833,0.0,0.0112,1.5749,-0.0112,0.625923,0.779884,0
156,2.6,0.0,0.0185,1.5564,-0.0185,0.62932,0.777146,0
157,2.6167,0.0,0.017,1.5394,-0.017,0.632705,0.774393,0
158,2.6333,0.0,0.0167,1.5227,-0.0167,0.636078,0.771625,0
159,2.65,0.0,0.0134,1.5093,-0.0134,0.639439,0.768842,0
160,2.6667,0.0,0.0146,1.4947,-0.0146,0.642788,0.766044,0
161,2.6833,0.0,0.0169,1.4778,-0.0169,0.646124,0.763232,0
162,2.7,0.0,0.0183,1.4595,-0.0183,0.649448,0.760406,0
163,2.7167,0.0,0.0159,1.4436,-0.0159,0.65276,0.757565,0
164,2.7333,0.0,0.0177,1.4259,-0.0177,0.656059,0.75471,0
165,2.75,0.0,0.0186,1.4073,-0.0186,0.659346,0.75184,0
166,2.7667,0.0,0.0163,1.391,-0.0163,0.66262,0.748956,0
167,2.7833,0.0,0.0112,1.3798,-0.0112,0.665882,0.746057,0
168,2.8,0.0,0.0154,1.3644,-0.0154,0.669131,0.743145,0
169,2.8167,0.0,0.0152,1.3492,-0.0152,0.672367,0.740218,0
170,2.8333,0.0,0.0178,1.3314,-0.0178,0.67559,0.737277,0
171,2.85,0.0,0.0146,1.3168,-0.0146,0.678801,0.734323,0
172,2.8667,0.0,0.0146,1.3022,-0.0146,0.681998,0.731354,0
173,2.8833,0.0,0.0157,1.2865,-0.0157,0.685183,0.728371,0
174,2.9,0.0,0.0163,1.2702,-0.0163,0.688355,0.725374,0
175,2.9167,0.0,0.0157,1.2545,-0.0157,0.691513,0.722364,0
176,2.9333,0.0,0.0172,1.2373,-0.0172,0.694658,0.71934,0
177,2.95,0.0,0.0207,1.2166,-0.0207,0.69779,0.716302,0
178,2.9667,0.0,0.0159,1.2007,-0.0159,0.700909,0.71325,0
179,2.9833,0.0,0.0148,1.1859,-0.0148,0.704015,0.710185,0
180,3.0,0.0,0.013,1.1729,-0.013,0.707107,0.707107,0
181,3.0167,0.0,0.0182,1.1547,-0.0182,0.710185,0.704015,0
182,3.0333,0.0,0.016,1.1387,-0.016,0.71325,0.700909,0
183,3.05,0.0,0.0195,1.1192,-0.0195,0.716302,0.69779,0
184,3.0667,0.0,0.0126,1.1066,-0.0126,0.71934,0.694658,0
185,3.0833,0.0,0.0191,1.0875,-0.0191,0.722364,0.691513,0
186,3.1,0.0,0.014,1.0735,-0.014,0.725374,0.688355,0
187,3.1167,0.0,0.0113,1.0622,-0.0113,0.728371,0.685183,0
188,3.1333,0.0,0.0164,1.0458,-0.0164,0.731354,0.681998,0
189,3.15,0.0,0.0151,1.0307,-0.0151,0.734323,0.678801,0
190,3.1667,0.0,0.0162,1.0145,-0.0162,0.737277,0.67559,0
191,3.1833,0.0,0.0165,0.998,-0.0165,0.740218,0.672367,0
192,3.2,0.0,0.0149,0.9831,-0.0149,0.743145,0.669131,0
193,3.2167,0.0,0.0165,0.9666,-0.0165,0.746057,0.665882,0
