sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0173,2.9827,-0.0173,0.0,1.0,0
1,0.0167,0.0,0.0193,2.9634,-0.0193,0.004363,0.99999,0
2,0.0333,0.0,0.0188,2.9446,-0.0188,0.008727,0.999962,0
3,0.05,0.0,0.0134,2.9312,-0.0134,0.01309,0.999914,0
4,0.0667,0.0,0.0157,2.9155,-0.0157,0.017452,0.999848,0
5,0.0833,0.0,0.0197,2.8958,-0.0197,0.021815,0.999762,0
6,0.1,0.0,0.0175,2.8783,-0.0175,0.026177,0.999657,0
7,0.1167,0.0,0.0184,2.8599,-0.0184,0.030539,0.999534,0
8,0.1333,0.0,0.0137,2.8462,-0.0137,0.034899,0.999391,0
9,0.15,0.0,0.0143,2.8319,-0.0143,0.03926,0.999229,0
10,0.1667,0.0,0.0157,2.8162,-0.0157,0.043619,0.999048,0
11,0.1833,0.0,0.0175,2.7987,-0.0175,0.047978,0.998848,0
12,0.2,0.0,0.0167,2.782,-0.0167,0.052336,0.99863,0
13,0.2167,0.0,0.02,2.762,-0.02,0.056693,0.998392,0
14,0.2333,0.0,0.0145,2.7475,-0.0145,0.061049,0.998135,0
15,0.25,0.0,0.0171,2.7304,-0.0171,0.065403,0.997859,0
16,0.2667,0.0,0.014,2.7164,-0.014,0.069756,0.997564,0
17,0.2833,0.0,0.0161,2.7003,-0.0161,0.074108,0.99725,0
18,0.3,0.0,0.0166,2.6837,-0.0166,0.078459,0.996917,0
19,0.3167,0.0,0.0146,2.6691,-0.0146,0.082808,0.996566,0
20,0.3333,0.0,0.0173,2.6518,-0.0173,0.087156,0.996195,0
21,0.35,0.0,0.014,2.6378,-0.014,0.091502,0.995805,0
22,0.3667,0.0,0.019,2.6188,-0.019,0.095846,0.995396,0
23,0.3833,0.0,0.0173,2.6015,-0.0173,0.100188,0.994969,0
24,0.4,0.0,0.017,2.5845,-0.017,0.104528,0.994522,0
25,0.4167,0.0,0.0178,2.5667,-0.0178,0.108867,0.994056,0
26,0.4333,0.0,0.0172,2.5495,-0.0172,0.113203,0.993572,0
27,0.45,0.0,0.0152,2.5343,-0.0152,0.117537,0.993068,0
28,0.4667,0.0,0.0193,2.515,-0.0193,0.121869,0.992546,0
29,0.4833,0.0,0.0184,2.4966,-0.0184,0.126199,0.992005,0
30,0.5,0.0,0.0155,2.4811,-0.0155,0.130526,0.991445,0
31,0.5167,0.0,0.0214,2.4597,-0.0214,0.134851,0.990866,0
32,0.5333,0.0,0.0185,2.4412,-0.0185,0.139173,0.990268,0
33,0.55,0.0,0.014,2.4272,-0.014,0.143493,0.989651,0
34,0.5667,0.0,0.0169,2.4103,-0.0169,0.147809,0.989016,0
35,0.5833,0.0,0.0178,2.3925,-0.0178,0.152123,0.988362,0
36,0.6,0.0,0.0212,2.3713,-0.0212,0.156434,0.987688,0
37,0.6167,0.0,0.0171,2.3542,-0.0171,0.160743,0.986996,0
38,0.6333,0.0,0.0155,2.3387,-0.0155,0.165048,0.986286,0
39,0.65,0.0,0.0164,2.3223,-0.0164,0.16935,0.985556,0
40,0.6667,0.0,0.019,2.3033,-0.019,0.173648,0.984808,0
41,0.6833,0.0,0.0175,2.2858,-0.0175,0.177944,0.984041,0
42,0.7,0.0,0.0185,2.2673,-0.0185,0.182236,0.983255,0
43,0.7167,0.0,0.0122,2.2551,-0.0122,0.186524,0.98245,0
44,0.7333,0.0,0.0159,2.2392,-0.0159,0.190809,0.981627,0
45,0.75,0.0,0.0149,2.2243,-0.0149,0.19509,0.980785,0
46,0.7667,0.0,0.0189,2.2054,-0.0189,0.199368,0.979925,0
47,0.7833,0.0,0.0157,2.1897,-0.0157,0.203642,0.979045,0
48,0.8,0.0,0.017,2.1727,-0.017,0.207912,0.978148,0
49,0.8167,0.0,0.0156,2.1571,-0.0156,0.212178,0.977231,0
50,0.8333,0.0,0.0176,2.1395,-0.0176,0.21644,0.976296,0
51,0.85,0.0,0.0166,2.1229,-0.0166,0.220697,0.975342,0
52,0.8667,0.0,0.0156,2.1073,-0.0156,0.224951,0.97437,0
53,0.8833,0.0,0.0163,2.091,-0.0163,0.2292,0.973379,0
54,0.9,0.0,0.0184,2.0726,-0.0184,0.233445,0.97237,0
55,0.9167,0.0,0.0215,2.0511,-0.0215,0.237686,0.971342,0
56,0.9333,0.0,0.0183,2.0328,-0.0183,0.241922,0.970296,0
57,0.95,0.0,0.0141,2.0187,-0.0141,0.246153,0.969231,0
58,0.9667,0.0,0.0185,2.0002,-0.0185,0.25038,0.968148,0
59,0.9833,0.0,0.0196,1.9806,-0.0196,0.254602,0.967046,0
60,1.0,0.0,0.0195,1.9611,-0.0195,0.258819,0.965926,0
